ID_ARTICULO,ISBN,ALTAPROD,TITULO,COMERCIALIZACION,CATEGORIA,STOCK_DEPO,VAL_DEPO,STOCK_CAD,VAL_CAD,STOCK_3,VAL_3,TOTAL_UNI,TOTAL_VAL
438132,9784452662562,1992-08,La plaza eterno,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,8.34,1,8.01
438169,9782466463177,1997-04,El umbral fugaz,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,3.31,1,3.73
444084,9783733265951,1995-11,La noche del río,FIRME,LIBROS > Filosofía,0,0.0,0,0.0,1,37.81,1,34.66
521043,9780938067323,1994-06,El camino en la lluvia,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,2,33.58,2,30.48
611443,9783226915296,2002-03,La casa sin fronteras,CONSIGNADO,LIBROS > Filosofía,0,0.0,2,62.12,21,676.73,20,603.08
623943,9786460622377,2002-11,La casa de arena,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,14,225.23,13,198.7
941043,9780468663347,2010-01,El jardín nocturno,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,2,18.84,2,22.7
948843,9789709203040,2010-07,La torre del bosque,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,2,23.74,2,25.8
955043,9784457762552,2010-10,El puente de sal,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,32.13,1,36.81
957343,9781314239216,2010-11,El cielo luminoso,CONSIGNADO,LIBROS > Filosofía,0,0.0,2,110.71,1,55.59,3,159.37
971343,9783486244247,2011-07,La isla profundo,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,4,155.09,4,133.84
976243,9785496122013,2011-10,El mapa de ceniza,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,6,87.3,6,92.34
1026743,9781311653662,2015-03,La ventana luminoso,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,44394.58,1,46742.5
1028043,9789859523425,2015-05,El cielo lejano,CONSIGNADO,LIBROS > Filosofía,1,16.55,1,16.63,9,140.03,13,176.36
1045643,9785145612248,2016-03,El reloj boreal,CONSIGNADO,LIBROS > Filosofía,0,0.0,3,24065.53,0,0.0,3,19980.32
1057043,9787584173960,2016-10,El eco de jade,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,5,191.96,4,217.59
1060243,9789245669160,2016-12,La ruta del sur,CONSIGNADO,LIBROS > Filosofía,1,237.82,8,2171.07,0,0.0,9,2604.97
1066243,9780608615142,2017-05,El jardín en el viento,CONSIGNADO,LIBROS > Filosofía,0,0.0,2,147.68,0,0.0,2,156.85
1083843,9782183419661,2018-04,La ruta boreal,CONSIGNADO,LIBROS > Filosofía,155,10189.89,29,2000.54,77,5406.86,313,20713.14
1085943,9787823553171,2018-05,La tierra austral,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,78.38,1,86.42
1102243,9783465231465,2019-07,La torre de piedra,CONSIGNADO,LIBROS > Filosofía,34,10057.93,83,19564.29,357,102671.36,433,146846.73
1120643,9785342251716,2021-08,La plaza del alba,CONSIGNADO,LIBROS > Filosofía,1855,690815.66,63,27609.1,231,76264.85,2110,771893.74
1129043,9786188296112,2022-05,La noche nocturno,CONSIGNADO,LIBROS > Filosofía,5,1759.15,54,19608.31,47,15977.36,107,40314.73
1134943,9783236815646,2022-11,El reloj de papel,CONSIGNADO,LIBROS > Filosofía,2873,5235188.17,374,778987.13,43,75160.81,2932,5985269.2
1157843,9786674337395,2024-11,El umbral de las sombras,CONSIGNADO,LIBROS > Filosofía,1459,2295790.73,347,550426.94,1204,1799125.63,2895,5774587.33
1176943,9784356944321,2026-03,La isla de jade,CONSIGNADO,LIBROS > Filosofía,870,1930071.9,1988,3831832.51,1653,4249740.37,3643,11062601.28
450210,9788252253122,1994-10,El cielo boreal,CONSIGNADO,LIBROS > Filosofía,0,0.0,0,0.0,1,1.86,1,1.95
450215,9785161121643,1997-03,El puerto de hierro,CONSIGNADO,LIBROS > Filosofía,2,55.19,0,0.0,83,1844.73,78,1911.73
