ID ARTICULO,ISBN,IDEDITOR,DESCEDITOR,TITULO,CONSIGNADO,DEPOSITO,FALLADOS,DISPONIBLE,CADENA,TOTAL,COSTO,PVP,SECCION,GRUPO,FAMILIA,SUBFAMILIA,PESO,Sucursal Depósito 02,Sucursal Depósito 03,Sucursal Aeropuerto 03,Sucursal Sur 07,Sucursal Norte 08,Sucursal AMBA 28,Sucursal Centro 08,Sucursal Centro 09,Sucursal AMBA 29,Sucursal AMBA 30,Sucursal AMBA 31,Sucursal AMBA 32,Sucursal Costa 08,Sucursal Centro 10,Sucursal Norte 09,Sucursal AMBA 33,Sucursal Costa 09,Sucursal Sur 08,Sucursal AMBA 34,Sucursal AMBA 35,Sucursal AMBA 36,Sucursal Costa 10,Sucursal Mayorista 02,Sucursal Sur 09,Sucursal Norte 10,Sucursal AMBA 37,Sucursal AMBA 38,Sucursal Aeropuerto 04,Sucursal Feria 02,Sucursal Feria 03,Sucursal Feria 04,Sucursal Feria 05,Sucursal Feria 06,Sucursal Feria 07,Sucursal Feria 08,Sucursal AMBA 39,Sucursal Centro 11,Sucursal Norte 11,Sucursal Costa 11,Sucursal AMBA 40,Sucursal Costa 12,Sucursal Costa 13,Sucursal Costa 14,Sucursal Cuyo 05,Sucursal Cuyo 06,Sucursal Cuyo 07,Sucursal Sur 10,Sucursal AMBA 41,Sucursal AMBA 42,Sucursal AMBA 43,Sucursal Centro 12,Sucursal AMBA 44,Sucursal AMBA 45,Sucursal AMBA 46,Sucursal AMBA 47,Sucursal AMBA 48,Sucursal AMBA 49,Sucursal AMBA 50,Sucursal Norte 12,Sucursal Centro 13,Sucursal Centro 14,Sucursal Norte 13,Sucursal AMBA 51,Sucursal Cuyo 08,Sucursal AMBA 52,Sucursal Centro 15,Sucursal AMBA 53,Sucursal AMBA 54,Sucursal Sur 11,Sucursal Norte 14,Sucursal AMBA 55,Sucursal Sur 12,Sucursal AMBA 56,Sucursal AMBA 57
1122789,9786522895360,1,Editorial Aurora,El cielo de sal,0,0,5,0,0,6,514.37,1938.5,LIBROS,Narrativa,Novela contemporánea,Bolsillo,812.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169395,9781386144916,2,Ediciones del Río,El faro olvidado,1023,2540,15,2767,457,4506,4663.18,23918.22,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,442.0,0,15,4,3,8,0,6,11,10,12,24,3,12,12,10,5,10,12,1,6,0,10,3,2,4,5,0,1,0,0,0,0,0,0,18,2,0,18,7,8,5,16,14,10,6,7,4,4,13,3,13,7,2,15,3,0,17,7,12,6,7,4,11,15,0,0,12,12,4,3,2,8,12,18
1179384,9786230783642,3,Ediciones del Río,La montaña del silencio,0,2738,0,2863,1193,4063,4599.77,26560.2,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,398.0,0,19,18,18,17,20,23,0,37,14,83,34,21,20,16,23,0,14,0,0,0,14,0,14,17,33,0,2,0,0,0,0,0,0,76,0,0,17,15,15,13,17,18,13,0,17,20,0,13,20,17,19,2,19,0,0,0,22,14,13,13,11,15,14,0,16,15,16,15,14,45,0,13,16
1060665,9786002584312,4,Ediciones del Río,El puerto invisible,641,553,50,494,130,1329,1255.43,31891.49,LIBROS,Ciencias Sociales,Didácticos,Edición especial,534.0,7,0,0,0,3,3,1,5,1,2,3,4,4,2,3,1,1,0,2,2,0,3,0,2,2,2,0,0,0,0,0,0,0,0,4,2,0,2,4,0,3,5,0,1,6,3,1,1,0,1,0,1,1,1,0,0,3,4,2,1,2,2,1,5,0,1,2,0,0,2,1,3,3,4
1060666,9784446921626,5,Ediciones del Río,La huella de fuego,677,194,185,221,103,1166,1247.17,28300.81,LIBROS,Ciencias Sociales,Didácticos,Edición especial,586.0,7,1,1,1,1,2,2,7,1,1,3,2,1,3,2,2,2,1,1,1,0,2,0,0,3,2,0,1,0,0,0,0,0,0,5,2,0,3,4,0,2,4,0,1,5,2,0,2,1,1,0,1,0,7,2,0,5,2,3,2,1,1,1,3,0,0,1,2,1,1,1,1,4,2
1088789,9786085918206,6,Ediciones del Río,El umbral boreal,626,1001,60,1156,190,2226,1403.68,25467.49,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,527.0,0,1,1,4,1,3,1,4,4,1,19,4,5,1,1,4,0,6,2,2,0,4,0,2,1,1,0,1,0,0,0,0,0,0,5,2,0,4,2,2,2,4,1,4,6,1,4,1,3,4,2,1,1,5,2,0,3,2,2,2,2,1,3,6,0,1,0,9,2,1,4,2,3,4
1088790,9780245846191,7,Ediciones del Río,La isla olvidado,485,5,26,4,19,426,1464.15,32894.91,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,587.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0
1072997,9789440371468,8,Ediciones del Río,La voz profundo,51,0,0,0,2,48,58.19,13050.33,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633791,9782648758666,9,Ediciones del Río,El umbral de sal,84,1,2,0,10,89,75.78,30151.98,LIBROS,Narrativa,Novela contemporánea,Tapa dura,569.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1017563,9787110428612,10,Libros del Sur,El espejo de ceniza,0,0,0,0,0,0,82.79,155.35,JUGUETES Y VS,Ciencias Exactas,Ilustrados,Referencia,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
